약국 이름,주소,경도,위도
대금암약국,충청남도 당진시 송산면 송산로 164 105호 (대상아파트),126.6592354,36.922516
사랑온누리약국,"인천광역시 서구 검단로 500 (마전동, 플러스빌딩)",126.659644,37.6026261
다솜약국,경기도 김포시 김포한강3로 287 102호 (장기동),126.6597786,37.6413772
한결약국,경기도 김포시 김포한강3로 287 103호 (장기동),126.6597786,37.6413772
송도바이오약국,"인천광역시 연수구 송도바이오대로 300 (송도동, 삼성바이오로직스)",126.6602563,37.3683817
오메가약국,인천광역시 동구 봉수대로 82 1층 (송림동),126.6603503,37.4830655
참조은약국,인천광역시 서구 마전로5번길 22-1 101호 (마전동),126.6603682,37.6135777
테라스파란문약국,인천광역시 연수구 센트럴로 415 힐스테이트 송도 더테라스 판매시설동 148호 (송도동),126.660471,37.3742139
늘푸른약국,경기도 김포시 김포한강2로 232 (장기동),126.6607275,37.6455669
열린약국,"경기도 김포시 김포한강2로 222 107호 (장기동, 대영메디칼아카데미)",126.6610517,37.6453959
위미약국,제주특별자치도 서귀포시 남원읍 태위로 127 (남원읍),126.6610827,33.2749992
바른약국,경기도 김포시 김포한강2로 220 그린프라자 301호 (장기동),126.6613554,37.6452555
대은약국,인천광역시 미추홀구 인하로119번길 13 (용현동),126.6615694,37.4506601
을지약국,인천광역시 미추홀구 인하로 121 (용현동),126.6616543,37.4500276
또바기약국,인천광역시 미추홀구 숙골로87번길 14 101호 (도화동),126.6619945,37.4699179
학익프라자약국,인천광역시 미추홀구 매소홀로 355 (학익동),126.6620204,37.441411
햇님약국,인천광역시 미추홀구 숙골로 114 우리타워 103호 (도화동),126.6620373,37.4721127
한아름약국,충청남도 홍성군 홍성읍 문화로 99 (),126.6621398,36.5963688
한일약국,충청남도 홍성군 홍성읍 아문길 37-1 (홍성읍),126.6629013,36.6013674
자연온누리약국,"경기도 김포시 김포한강4로 176 114호 (장기동, 현대프라자)",126.6629247,37.6477504
다사랑약국,인천광역시 미추홀구 한나루로 379 (학익동),126.6630383,37.4419262
효약국,"인천광역시 연수구 청학로 5 (청학동, 행복빌딩)",126.6632608,37.4275632
정명약국,인천광역시 연수구 청학로15번길 4 (청학동),126.6632924,37.4287134
미추홀약국,"인천광역시 미추홀구 숙골로87번길 5 204동 2층 16호 (도화동, 더샵 인천스카이타워 2단지)",126.6634299,37.4692972
넘버원약국,인천광역시 미추홀구 소성로 133 (학익동),126.6636392,37.4433788
성우약국,인천광역시 미추홀구 한나루로 389 1층 (학익동),126.6636979,37.4426794
명성약국,인천광역시 미추홀구 소성로 136 1층 102호 (학익동),126.6637029,37.4429141
삼계약국,전라남도 장성군 삼계면 사창로 77 (),126.6637081,35.2597646
영재약국,제주특별자치도 제주시 조천읍 신북로 510-1 (조천읍),126.6644275,33.5421202
즐거운약국,"인천광역시 서구 원당대로 581 (마전동, 롯데마트)",126.6645572,37.5945331
대한약국,제주특별자치도 제주시 조천읍 조함해안로 488-6 (조천읍),126.664657,33.5423002
조은약국,전라남도 장성군 삼계면 사창로 63 (),126.6647552,35.2590598
연세드림약국,인천광역시 서구 새오개로111번안길 32 102호 (신현동),126.6648356,37.5220772
새오개약국,인천광역시 서구 새오개로111번안길 31 101호 (신현동),126.6648538,37.5224277
민중약국,인천광역시 미추홀구 한나루로 400 (학익동),126.6649652,37.4435149
고일약국,인천광역시 미추홀구 소성로 150 (학익동),126.6650244,37.4423338
송도캠퍼스약국,"인천광역시 연수구 송도과학로27번길 55 3층 A-311호 (송도동, 롯데캐슬 캠퍼스타운)",126.6650323,37.3881981
캠퍼스메이플약국,"인천광역시 연수구 송도과학로27번길 55 A동 107호 (송도동, 롯데캐슬캠퍼스타운)",126.6650323,37.3881981
부영약국,인천광역시 미추홀구 한나루로 411 (학익동),126.6650469,37.4443962
이화당약국,"인천광역시 동구 방축로 191 인천교자동차매매단지 1층 123,124호 (송림동)",126.6651229,37.4798438
대학약국,인천광역시 서구 새오개로 37 (석남동),126.6651272,37.5135974
오거리약국,인천광역시 미추홀구 숙골로 57 (도화동),126.6652522,37.467851
중앙메디약국,경기도 김포시 청송로 8 103호 (장기동),126.6653177,37.6469528
가정온누리약국,"인천광역시 서구 청중로 486 105호 (가정동, 부일프라자)",126.6653351,37.5297217
유약국,충청남도 홍성군 홍성읍 조양로 141 (),126.6656659,36.6018788
바른약국,인천광역시 서구 봉오재3로 40 104호 (가정동),126.6656787,37.5297026
명문약국,"인천광역시 서구 봉오재3로 44 101호 (가정동, 명문프라자)",126.6656791,37.5293069
신세계약국,충청남도 홍성군 홍성읍 내포로 20 (),126.6656799,36.6001095
용남시장약국,인천광역시 미추홀구 인주대로266번길 17 (용현동),126.6656813,37.4519525
가정미소약국,인천광역시 서구 봉오재3로 42 102호 (가정동),126.6656884,37.5294806
디에이치(DH)메디컬약국,인천광역시 미추홀구 석정로 271 (도화동),126.6656995,37.4685802
건강약국,충청남도 홍성군 홍성읍 내포로 18 18,126.6658004,36.6002619
길정약국,인천광역시 미추홀구 인주대로 261 (주안동),126.6658046,37.4530363
신창약국,충청남도 당진시 면천면 한천로 877 식당,126.6658979,36.8163208
나라약국,제주특별자치도 제주시 조천읍 신북로 523 (조천읍),126.6659825,33.5420502
청송약국,"경기도 김포시 청송로 18 109호 (장기동, 청송마을 상가동)",126.6659876,37.6473747
삼일약국,충청남도 홍성군 홍성읍 내포로 12 (),126.6660627,36.6006436
하나프라자약국,충청남도 홍성군 홍성읍 내포로 8 8,126.6662104,36.6009621
조광약국,충청남도 홍성군 홍성읍 조양로143번길 26 (홍성읍),126.6663106,36.6027091
신한당약국,제주특별자치도 제주시 조천읍 신북로 530 (조천읍),126.6663617,33.5415054
웰빙몰약국,충청남도 홍성군 홍성읍 충절로 1051 (),126.6663796,36.5992451
홍주약국,충청남도 홍성군 홍성읍 내포로 2 (홍성읍),126.6664154,36.6012542
마더스약국,"경기도 김포시 김포한강4로 131 102호 (장기동, 정현메디피아)",126.6664799,37.6449564
와이약국,충청남도 홍성군 홍성읍 홍성천길 188 (홍성읍),126.6666291,36.599946
미성약국,"경기도 김포시 청송로 26 1층 103호 (장기동, 청송현대쇼핑센터)",126.6667686,37.6478013
킹콩약국,경기도 김포시 김포한강4로 129 하나프라자 103호 (장기동),126.6668253,37.6448303
보원당약국,충청남도 홍성군 홍성읍 홍성천길 196 (),126.6668614,36.6002277
송약국,충청남도 홍성군 홍성읍 홍성천길 198 (),126.6668701,36.6002893
용일약국,인천광역시 미추홀구 인주대로 273 1층 (주안동),126.6669004,37.4526616
오성약국,인천광역시 미추홀구 한나루로 499-3 (용현동),126.6671507,37.4515586
푸른약국,인천광역시 미추홀구 수봉로182번길 45 (주안동),126.6672132,37.4574174
건강약국,전라남도 장성군 삼계면 사창로 40 (삼계면),126.6672674,35.2581512
수약국,"인천광역시 서구 완정로 70 211호 (마전동, 영남탑스빌아파트 상가)",126.6673173,37.5980111
조은약국,충청남도 홍성군 홍성읍 충절로1032번길 82 (),126.6673173,36.6006882
메디팜 정약국,충청남도 홍성군 홍성읍 홍성천길 214 두리프라자 106호,126.6673469,36.6010151
홍성종합약국,충청남도 홍성군 홍성읍 조양로 158-1 (홍성읍),126.6673747,36.6011841
올바른한약국,"경기도 김포시 김포한강1로51번길 16 (장기동, 운창빌딩)",126.6674783,37.643773
유명약국,충청남도 홍성군 홍성읍 조양로 160 (홍성읍),126.6674893,36.601163
대학약국,인천광역시 미추홀구 방축로 216 C동 1층 102호 (도화동),126.6674932,37.4779556
주안백화점약국,인천광역시 미추홀구 한나루로 500-1 (주안동),126.6676483,37.4515427
김포광장약국,"경기도 김포시 김포한강4로 119 102호 (장기동, 승문프라자)",126.6677031,37.6443282
동서약국,"경기도 김포시 김포한강1로51번길 12 1층 (장기동, 동서메디칼빌딩)",126.667706,37.6436471
밝은약국,"경기도 김포시 김포한강4로 117 101호 (장기동, 홍우프라자)",126.667992,37.6441798
미소약국,충청남도 홍성군 홍성읍 조양로 167 (신한은행),126.6683471,36.6013568
신현프라자약국,인천광역시 서구 율도로 55 (신현동),126.6683566,37.5137896
장기보룡약국,"경기도 김포시 김포한강4로 113 102호 (장기동, 신한프라자)",126.6683697,37.6439449
덕산약국,충청남도 예산군 덕산면 덕산온천로 433 (덕산면),126.66844,36.7042347
다나약국,인천광역시 미추홀구 경인로 233 1층 1호 (도화동),126.6684686,37.4644062
성모약국,"인천광역시 서구 원창로 174 102,103호 (신현동)",126.668651,37.5175148
정다운약국,충청남도 홍성군 홍성읍 조양로 169-1 (홍성읍),126.6686988,36.601235
청수당약국,인천광역시 미추홀구 석정로 300 (도화동),126.6688096,37.4678799
읍내약국,충청남도 예산군 덕산면 예덕로 1 (),126.6688817,36.7042499
사거리 열린약국,충청남도 홍성군 홍성읍 홍장북로 417 1층,126.6688937,36.5918635
유니팜약국,경기도 김포시 김포한강4로 110 105호 (장기동),126.668946,37.6445772
이삭약국,인천광역시 서구 율도로 62-1 1층 (석남동),126.6690321,37.5134156
뉴코아약국,"인천광역시 연수구 용담로 11 205호 (청학동, 시대아파트상가)",126.6691397,37.4214859
우리팜아름약국,"인천광역시 연수구 용담로 11 2층 202-1호 (청학동, 시대아파트상가)",126.6691397,37.4214859
사랑약국,"인천광역시 미추홀구 석정로 306 1층 106호 (도화동, 삼원상가)",126.6693482,37.4678248
성민메디칼약국,인천광역시 서구 신석로 68 (석남동),126.6695273,37.5098665
루원시티약국,인천광역시 서구 염곡로 468 드림타워 106호 (가정동),126.6697132,37.5264908
가온약국,인천광역시 서구 봉오재3로 90 한일골드타워 (가정동),126.6697544,37.527215
플러스약국,인천광역시 서구 칠천왕로33번길 18 1층 (석남동),126.6698266,37.5094822
인천교약국,인천광역시 미추홀구 방축로 240 (도화동),126.6700223,37.4768702
자생약국,인천광역시 서구 거북로 74-1 (석남동),126.6700364,37.5030978
위드팜100세약국,"인천광역시 서구 완정로 35 (마전동, 대운프라자)",126.6700509,37.595581
플러스약국,경기도 김포시 김포한강1로 85 101호 (장기동),126.6700972,37.6457293
루원서울약국,"인천광역시 서구 가정로 437 301동 204호 (가정동, 루원시티 SK Leaders' VIEW)",126.6701182,37.5242529
SK성모약국,"인천광역시 서구 가정로 437 301동 B117호 (가정동, 루원시티 SK Leaders' VIEW)",126.6701182,37.5242529
한성메디칼약국,"인천광역시 서구 완정로 36 1층 (마전동, 한성빌딩)",126.6702576,37.595933
선정수약국,인천광역시 미추홀구 학익소로 66 선정빌딩 1층 106호 (학익동),126.6703486,37.4418442
복음약국,인천광역시 연수구 먼우금로 88 상산빌딩 304호 (동춘동),126.6703792,37.4067429
성민대학약국,인천광역시 서구 길주로75번길 35 1층 (석남동),126.6703929,37.5097261
삼육오사랑약국,인천광역시 서구 칠천왕로33번길 14 1층 일부호 (석남동),126.6704045,37.5094628
메디안약국,"인천광역시 서구 검단로623번길 4 105호 (마전동, 세창프라자)",126.6704188,37.6099315
누리약국,"인천광역시 연수구 원인재로 14 101호 (동춘동, 무지개상가)",126.6704448,37.4015427
푸른약국,인천광역시 연수구 먼우금로 96 1층 (동춘동),126.6704665,37.4075654
미소탑약국,"인천광역시 서구 청마로 17 준성빌딩 104, 105호 (당하동)",126.6705542,37.5923763
대산프라자약국,"인천광역시 연수구 앵고개로246번길 10 107,108호 (동춘동)",126.6706195,37.4084221
중앙약국,충청남도 홍성군 홍성읍 조양로 189 (),126.6706492,36.6008897
사랑탑약국,"인천광역시 서구 청마로19번길 3 1층 (당하동, 드림빌딩)",126.6707201,37.592395
중앙약국,인천광역시 서구 길주로75번길 36 (석남동),126.6707307,37.5097585
가좌마트약국,인천광역시 서구 가정로151번길 11 2층 (가좌동),126.6707496,37.4976706
늘사랑약국,인천광역시 연수구 앵고개로264번길 46 105호 (동춘동),126.670838,37.4066929
연수전문약국,"인천광역시 연수구 앵고개로 242 제일빌딩 116호,118호,120호 (동춘동)",126.6708526,37.4086686
튼튼약국,"인천광역시 연수구 앵고개로 242 제일빌딩 1층 101호,102호 (동춘동)",126.6708526,37.4086686
탑스타약국,인천광역시 서구 청마로7번길 6 1층 일부호 (당하동),126.6708874,37.5929307
큰나무약국,인천광역시 미추홀구 매소홀로 442 (학익동),126.6710608,37.4395714
루원진약국,인천광역시 서구 염곡로464번길 15 106호 (가정동),126.6711075,37.5263928
정다운약국,충청남도 예산군 덕산면 봉운로 18 (덕산면),126.6711624,36.7054301
해미약국,인천광역시 서구 가정로 123 명성프라자 107호 (가좌동),126.6712914,37.4957249
메디탑약국,인천광역시 서구 청마로19번길 9 101호 (당하동),126.6714153,37.5923719
한솔약국,인천광역시 미추홀구 인하로 211 (주안동),126.6714735,37.4487547
정온누리약국,"인천광역시 서구 건지로 264 112, 113호 (가좌동)",126.6715059,37.498915
종로약국,인천광역시 연수구 앵고개로 250 1층 (동춘동),126.6715185,37.4081883
늘푸른약국,인천광역시 연수구 앵고개로 250 204호 (동춘동),126.6715185,37.4081883
삼호약국,인천광역시 연수구 함박뫼로12번길 1 (청학동),126.671562,37.4186343
나무약국,"경기도 김포시 김포한강2로 110 1동 102호 (장기동, 센타프라자)",126.6716248,37.6395019
도화약국,인천광역시 미추홀구 한나루로 585 (도화동),126.6717119,37.4584845
행복약국,인천광역시 미추홀구 한나루로 589 102호 (도화동),126.6718018,37.4586572
수프라자약국,인천광역시 연수구 앵고개로264번길 30-4 영남프라자 1층 102호 (동춘동),126.6718282,37.4068194
정든약국,인천광역시 서구 가정로 124 (가좌동),126.6718346,37.4957255
인암종로약국,인천광역시 미추홀구 석정로 327 (도화동),126.6718454,37.4679571
하동약국,인천광역시 서구 승학로483번길 18-6 (검암동),126.6718606,37.5647864
정성약국,"인천광역시 서구 가정로 201-1 1층 (석남동, 두일빌딩)",126.671879,37.5029338
행복한약국,인천광역시 서구 가정로 213 (석남동),126.6718844,37.5038286
희망약국,인천광역시 서구 가정로 140 103호 (가좌동),126.6719801,37.4971508
둥지온누리약국,인천광역시 연수구 함박뫼로 26 (청학동),126.6720183,37.4197808
행복한우리약국,"인천광역시 연수구 앵고개로 256 101호 (동춘동, 웅지프라자)",126.6720322,37.4078378
검단온누리약국,인천광역시 서구 완정로 18 한윤메디칼 104호 (마전동),126.6721924,37.595102
옵티마정다운약국,인천광역시 서구 가정로 204 (석남동),126.6722819,37.5029848
동아온누리약국,"인천광역시 연수구 앵고개로264번길 10-1 (동춘동, 아촌빌딩)",126.6722836,37.4072116
청우약국,인천광역시 서구 가정로 202 (석남동),126.6722908,37.5027714
연희우리약국,인천광역시 서구 심곡로 24 (심곡동),126.6723071,37.5421627
석남우리약국,인천광역시 서구 가정로 291 (석남동),126.6723222,37.5109356
백쪼약국,충청남도 홍성군 홍성읍 조양로 203-102 (),126.6723352,36.6004397
하나온누리약국,인천광역시 서구 가정로 309 1층 (석남동),126.6724229,37.5124136
차약국,인천광역시 서구 가정로 369 1층 일부 (신현동),126.6725797,37.5179656
오렌지약국,"인천광역시 서구 가정로 375 104호 (신현동, 금강아미움상가)",126.6726009,37.5184643
비타민약국,"인천광역시 서구 가정로 375 310호,311호 (신현동, 금강아미움)",126.6726009,37.5184643
사(4)층약국,"인천광역시 서구 가정로 375 409호 일부, 410호 (신현동, 금강아미움)",126.6726009,37.5184643
검단튼튼약국,인천광역시 서구 청마로19번길 20 103호 (당하동),126.6726479,37.5920804
조은약국,인천광역시 서구 거북로 98 (석남동),126.6726489,37.5029771
천사약국,인천광역시 서구 가정로 363 (신현동),126.6726929,37.5174084
거북시장약국,인천광역시 서구 거북로 97 (석남동),126.6727092,37.5032971
대마옵티마약국,인천광역시 미추홀구 제일로 21-2 (도화동),126.6727369,37.4590902
대흥약국,전라남도 해남군 북일면 만월길 24 (북일면),126.6727485,34.4639532
팜프라자 연수제일약국,인천광역시 연수구 앵고개로 266 한양2차아파트(롯데슈퍼) 상가A동 1층 일부호 (동춘동),126.6728284,37.4069787
새솔약국,인천광역시 서구 가정로 280 102호 (석남동),126.6728633,37.5096673
그랜드약국,인천광역시 서구 가정로 308 (석남동),126.6728783,37.5123642
함께약국,인천광역시 서구 서곶로 823 1층 (당하동),126.6729379,37.5906836
온누리중앙프라자약국,인천광역시 서구 서곶로 837 (당하동),126.672989,37.5920754
평산한약국,경기도 김포시 초당로16번길 130-9 세명 104호 일부호 (장기동),126.6730497,37.6396777
열린약국,인천광역시 서구 가정로 364 1층 (가정동),126.6731657,37.517243
푸른건강약국,인천광역시 서구 가정로 370 (가정동),126.6731901,37.5177816
굿모닝약국,인천광역시 서구 가정로 364-1 (가정동),126.6731911,37.5173935
하늘약국,인천광역시 서구 가정로 372 1층 일부호 (가정동),126.6732312,37.5181481
맑은약국,인천광역시 서구 명가골로 37 (석남동),126.6732411,37.5132828
보건약국,"인천광역시 서구 거북로 104 (석남동, 한승빌딩)",126.6732626,37.5028915
정다운온누리약국,"인천광역시 서구 가정로 398 105호 (가정동, 서해프라자)",126.6733367,37.5203961
한솔약국,"인천광역시 서구 가정로 382 (가정동, 새인천상가)",126.6733601,37.5189281
신태양옵티마약국,인천광역시 미추홀구 인주대로 332 104호 (주안동),126.6733718,37.4514145
세란약국,인천광역시 서구 가정로 388 KEB외환은행 1층 일부호 (가정동),126.6733803,37.519455
참약국,충청남도 홍성군 홍성읍 조양로 216 (홍성읍),126.673506,36.5997966
건강제일약국,인천광역시 미추홀구 경인로 291 (도화동),126.6735796,37.4610219
제일건강약국,인천광역시 미추홀구 경인로 291 1층 (도화동),126.6735796,37.4610219
보령약국,충청남도 홍성군 홍성읍 조양로 220-10 (),126.6736113,36.5990927
복지온누리약국,"인천광역시 서구 탁옥로 37 1층 107호 (심곡동, 우리타워)",126.6736654,37.5441515
연세온누리약국,인천광역시 서구 승학로 321 1층 (연희동),126.673713,37.5503344
도화태평양약국,인천광역시 미추홀구 제일로 34 1층 (도화동),126.6739486,37.4585996
늘건강온누리약국,인천광역시 서구 승학로 491 105호 (검암동),126.6740507,37.5654797
연희연세약국,인천광역시 서구 서곶로369번길 24 1층 (연희동),126.6741005,37.5505673
조은약국,전라북도 고창군 부안면 복분자로 903 (부안면),126.6741146,35.5132386
행복나눔약국,충청남도 홍성군 홍성읍 조양로 221-1 (),126.6741513,36.6000329
희망약국,인천광역시 연수구 청명로 5 1층 (청학동),126.6742079,37.4166041
온누리약국,충청남도 홍성군 홍성읍 조양로 221 (홍성읍),126.6742718,36.5999811
프라자약국,인천광역시 서구 원당대로 660 1층 101-1호 (당하동),126.6742967,37.5932846
기쁨약국,경기도 김포시 김포한강2로 80 베스트프라자 1층 104호 (장기동),126.67431,37.6389748
신동아청수약국,인천광역시 미추홀구 매소홀로 470 (학익동),126.67437,37.439305
정성약국,인천광역시 미추홀구 신기길58번길 43-3 (주안동),126.6744018,37.445461
참조은약국,인천광역시 미추홀구 제일로 38 (도화동),126.6744274,37.4585779
그린약국,인천광역시 서구 탁옥로 45 (심곡동),126.6746266,37.544103
온누리이화약국,인천광역시 서구 거북로 115 (석남동),126.6746301,37.5032101
사랑약국,충청남도 홍성군 홍북읍 청사로 36 104호,126.6746869,36.6481134
청사랑약국,인천광역시 미추홀구 제일로 42 (도화동),126.6747275,37.4586065
중앙약국,인천광역시 미추홀구 매소홀로 474 (학익동),126.6747293,37.4392709
한울약국,인천광역시 연수구 새말로 32 (연수동),126.6747603,37.4222533
올리브약국,인천광역시 서구 원당대로 663 한종프라자 103호 (마전동),126.67488,37.593947
함덕하나로약국,제주특별자치도 제주시 조천읍 함와로 40 (조천읍),126.6749122,33.5365661
세인약국,인천광역시 미추홀구 제일로 42-1 (도화동),126.6749392,37.458592
행복한약국,인천광역시 서구 승학로 497 검암프라자 109호 (검암동),126.6749543,37.5655839
드림약국,"인천광역시 서구 승학로 498 108호 (검암동, 서해프라자)",126.6749685,37.5651728
무지개약국,인천광역시 연수구 새말로 31 (연수동),126.6750098,37.4224525
새봄약국,인천광역시 서구 탁옥로 49 제스트프라자 404호 (심곡동),126.6750758,37.5440929
홍성종로약국,충청남도 홍성군 홍성읍 조양로 231 (),126.6751782,36.5999721
천세약국,"인천광역시 연수구 청능대로 87 지하1층 (청학동, 롯데마트 연수점 내)",126.6751843,37.41513
내포우리약국,"충청남도 홍성군 홍북읍 청사로48번길 4 102,103호",126.6752666,36.648645
류형준힐링약국,인천광역시 미추홀구 주안로 51 (주안동),126.6753604,37.4644694
홍약국,충청남도 홍성군 홍성읍 조양로 236 (),126.6756419,36.5994555
효성메디칼약국,"인천광역시 연수구 청능대로 93 102호 (청학동, 두손빌딩)",126.6756837,37.4143364
백제당약국,인천광역시 서구 연희로 12 1층 (연희동),126.6757723,37.5493558
성누가약국,인천광역시 서구 탁옥로 55 SM스카이빌 (심곡동),126.6758402,37.5441389
원약국,인천광역시 연수구 먼우금로 189 (청학동),126.675868,37.4146343
해든소망약국,"인천광역시 연수구 먼우금로 189 2층 (청학동, 소망글로벌)",126.675868,37.4146343
당하백화점약국,"인천광역시 서구 청마로167번길 8 (당하동, 강남프라자빌딩 106호)",126.6759332,37.5925635
메디칼약국,인천광역시 미추홀구 인하로 251 (주안동),126.675968,37.44851
연수건강옵티마약국,"인천광역시 연수구 청능대로 103 1층 (연수동, BYC빌딩)",126.6762951,37.4136449
한사랑약국,인천광역시 서구 서곶로 281 (심곡동),126.6764465,37.5426091
365스마일약국,충청남도 홍성군 홍북읍 홍학로 95 (아이프라자2),126.6764672,36.6468527
녹십자약국,인천광역시 서구 서곶로 293 1층 (심곡동),126.6764782,37.5435977
연수태평양약국,인천광역시 연수구 먼우금로188번길 12 (연수동),126.6765279,37.4134271
파미스 하나약국,"인천광역시 연수구 먼우금로188번길 12 이리옴3빌딩 106,107,108호 (연수동)",126.6765279,37.4134271
바른약국,인천광역시 연수구 먼우금로188번길 12 이리옴3빌딩 115호 (연수동),126.6765279,37.4134271
당하메디칼약국,인천광역시 서구 청마로 163 (당하동),126.6765956,37.5919924
새연희약국,인천광역시 서구 서곶로 355-1 (연희동),126.6767428,37.5494542
늘봄약국,인천광역시 서구 길주로136번길 32-1 1층 (석남동),126.6768301,37.5031053
현대약국,"경기도 김포시 태장로 820 111호 (장기동, 엠프라자)",126.6770136,37.6368299
열린약국,인천광역시 연수구 먼우금로 194 1층 117호 (연수동),126.6770179,37.414348
가좌약국,인천광역시 서구 건지로318번길 32 (가좌동),126.6770933,37.4959448
혜은약국,인천광역시 미추홀구 인하로262번길 6 1층 (주안동),126.6771585,37.4479348
검단마트약국,인천광역시 서구 서곶로 754 (당하동),126.6772162,37.5857151
늘푸른약국,인천광역시 미추홀구 인하로 261 (주안동),126.6772675,37.4484097
성약국,인천광역시 연수구 샘말로7번길 7 썬클리닉빌딩 1층 (연수동),126.6773887,37.4121873
명신약국,인천광역시 미추홀구 학익소로61번길 135 (학익동),126.6774419,37.4433455
보건온누리약국,인천광역시 미추홀구 석바위로 42 (주안동),126.6775607,37.4605635
삼성약국,인천광역시 미추홀구 석정로 379 신동반점 1층 (주안동),126.6776995,37.4672943
신도시약국,"경기도 김포시 김포한강2로 41 롯데마트김포한강점1층 (장기동, e편한세상 캐널시티)",126.6777227,37.640489
수온누리약국,"경기도 김포시 태장로 808 105,106호 (장기동, 송호프라자)",126.6777941,37.6375548
양지약국,"인천광역시 연수구 용담로 115 112호 (연수동, 파크타워)",126.677832,37.4151256
연수푸른약국,"인천광역시 연수구 용담로 115 305호 (연수동, 파크타워)",126.677832,37.4151256
신보건약국,인천광역시 미추홀구 주안서로 26-1 1층 (주안동),126.6778995,37.4610207
한국약국,인천광역시 서구 서달로163번길 9 (석남동),126.677916,37.5130743
민선당약국,인천광역시 미추홀구 인하로 269 (주안동),126.6780788,37.4483223
메디팜약수약국,인천광역시 서구 서달로123번길 3 (석남동),126.6781251,37.5095677
수성당약국,인천광역시 미추홀구 경인로 344 (주안동),126.6782666,37.4583609
한마음약국,경기도 김포시 태장로 800 109호 (장기동),126.6784503,37.6380961
신기메디칼약국,인천광역시 미추홀구 인하로 273 (주안동),126.6785536,37.4483381
백제약국,전라북도 부안군 줄포면 줄포중앙로 49 (백제약국),126.6785548,35.5904137
우리약국,인천광역시 서구 서달로 159 102호 (석남동),126.6786843,37.5127963
신기시장약국,인천광역시 미추홀구 인하로 275 1층 101호 (주안동),126.6787221,37.4483238
서광약국,"인천광역시 미추홀구 경인로 347 (주안동,1층)",126.6787244,37.4588157
참사랑약국,인천광역시 미추홀구 인하로 276 (주안동),126.6787405,37.4478746
우성약국,인천광역시 미추홀구 석정로 389-5 (주안동),126.6788063,37.4671846
줄포종합약국,전라북도 부안군 줄포면 줄포중앙로 50 줄포종합약국,126.6788567,35.5902458
효성약국,"인천광역시 연수구 원인재로 88 101호 (동춘동, 대우삼환아파트상가)",126.678875,37.4051487
편안한약국,인천광역시 서구 원적로27번길 11 (가좌동),126.6788886,37.4893994
국민약국,전라북도 군산시 공항로 91 (소룡동),126.6789449,35.9752408
군산진약국,전라북도 군산시 칠성로 120 1층 104호 (산북동),126.6789798,35.9654734
주안튼튼약국,인천광역시 미추홀구 석정로 391 1층 (주안동),126.6789996,37.4671922
건강백세약국,인천광역시 미추홀구 미추홀대로 561 (주안동),126.6790165,37.4475883
건지약국,"인천광역시 서구 신진말로 30 1층 (가좌동, 쌍용체육관)",126.6790344,37.4929902
연수약국,인천광역시 연수구 용담로 131 1층 (연수동),126.6791504,37.4140323
희망약국,인천광역시 미추홀구 미추홀대로 573 1층 (주안동),126.6793104,37.4485367
예지원약국,인천광역시 미추홀구 미추홀대로 581 (주안동),126.6793262,37.4493575
홍예약국,충청남도 홍성군 홍북읍 청사로 146 센텀시티 1동 2층 209호,126.6793742,36.6570485
새봄이온누리약국,경기도 김포시 태장로 784 한강블루 117호 (장기동),126.6795574,37.639033
공단시장약국,인천광역시 미추홀구 길파로 16 (주안동),126.6796899,37.4671434
다정약국,인천광역시 미추홀구 미추홀대로 663-1 1층 (주안동),126.679705,37.4567082
주안정약국,"인천광역시 미추홀구 미추홀대로719번길 4 부성PINE 104,105,106호 (주안동)",126.6797889,37.4619651
온누리동산약국,인천광역시 미추홀구 길파로 26 (주안동),126.6798064,37.4680728
솔약국,"전라북도 군산시 공항로 79 1층 (소룡동, 대우빌딩)",126.6798296,35.9760484
화생당약국,인천광역시 미추홀구 길파로 30 (주안동),126.6798812,37.4683628
메디팜성모약국,인천광역시 서구 원적로 29 (가좌동),126.6799579,37.4897425
한샘약국,"인천광역시 서구 원적로 29 나동 4호 (가좌동, 한샘상가)",126.6799579,37.4897425
명성약국,인천광역시 서구 신진말로 37-1 (가좌동),126.6799603,37.4933365
온사랑온누리약국,인천광역시 미추홀구 미추홀대로 715 101호 (주안동),126.6799607,37.4613859
알렉스약국,"경기도 김포시 김포한강11로 147 105호 (장기동, 은성프라자)",126.679965,37.6461316
드림약국,경기도 김포시 김포한강11로 139-33 1층 (장기동),126.6800027,37.6454791
수민약국,경기도 김포시 태장로 780 1층 109호 (장기동),126.680007,37.6394151
김재준약국,인천광역시 미추홀구 미추홀대로 576 (주안동),126.6800283,37.4487761
열린약국,인천광역시 미추홀구 낙섬중로 37 1층 (용현동),126.6800777,37.5440207
부처산약국,인천광역시 미추홀구 미추홀대로 735 (주안동),126.6801028,37.4632304
메디팜현상약국,인천광역시 미추홀구 미추홀대로 628 1층 (주안동),126.6801088,37.453326
주안허브약국,인천광역시 미추홀구 주안로 86 주안역 지하도상가 239호 (주안동),126.6801619,37.4644046
내포중앙약국,충청남도 홍성군 홍북읍 청사로150번길 10 센트럴 뉴 스퀘어 109호,126.6802107,36.6570555
행복한약국,충청남도 당진시 시청1로 75 (읍내동),126.6802163,36.9329689
주안약국,인천광역시 미추홀구 미추홀대로 704 1층 (주안동),126.6804073,37.460156
태성약국,인천광역시 미추홀구 미추홀대로 696 (주안동),126.6804363,37.4595728
