약국 이름,주소,경도,위도
푸른솔약국,충청남도 태안군 태안읍 동백로 310 (태안읍),126.3039462,36.7476774
대동약국,제주특별자치도 제주시 애월읍 곽지7길 1 2층,126.3084004,33.4500563
횃불약국,전라남도 해남군 문내면 동영길 29-4 (문내면),126.3114252,34.5975493
수영약국,전라남도 해남군 문내면 우수영로 10-51 (문내면),126.311896,34.596937
소망약국,전라남도 해남군 문내면 동영길 22 (문내면),126.3130221,34.5970886
천사약국,전라남도 신안군 압해읍 압해로 872 (),126.313747,34.8651685
제일약국,전라남도 진도군 고군면 오일시1길 39 (고군면),126.3137891,34.5013109
압해종로약국,전라남도 신안군 압해읍 압해로 869 (압해읍),126.3138553,34.864789
핑크약국,제주특별자치도 제주시 애월읍 애월로 109 1층,126.3191967,33.4648693
아라약국,제주특별자치도 제주시 애월읍 애월로 120 (애월읍),126.3199833,33.4643821
애월약국,제주특별자치도 제주시 애월읍 애월로11길 6-2 1층,126.3206153,33.4648663
바다약국,충청남도 태안군 태안읍 서해로 1952-13 (태안읍),126.3229869,36.7524613
목포약국,전라남도 해남군 화원면 금평길 3 목포약국,126.3285399,34.6684697
화원약국,전라남도 해남군 화원면 청용1길 6 (),126.3292018,34.6689094
화순약국,제주특별자치도 서귀포시 안덕면 화순로 113 113,126.3342152,33.246341
한양약국,제주특별자치도 서귀포시 안덕면 화순로 110 (),126.3346114,33.2465953
운남약국,전라남도 무안군 운남면 운해로 580-1 (),126.3406461,34.9607209
부부약국,전라남도 진도군 고군면 지수길 51-5 (고군면),126.3441292,34.4899547
중앙약국,충청남도 태안군 안면읍 응지마을길 30 30,126.344756,36.5183746
명성약국,충청남도 태안군 안면읍 응지마을길 10 (),126.3449591,36.5169332
서산약국,충청남도 태안군 안면읍 장터로 105-4 1층 (백경타운 B동),126.3452363,36.5164914
전약국,충청남도 태안군 안면읍 장터로 109 (안면읍),126.3455382,36.5169966
인성약국,충청남도 태안군 안면읍 구억말길 35 (),126.3456192,36.5184571
안면약국,충청남도 태안군 안면읍 장터로 112 (),126.345773,36.5171055
희망약국,충청남도 태안군 안면읍 구억말길 14-3 1층 1호,126.3476206,36.5176576
한별약국,"전라남도 목포시 청호로 206 1층 101호 (산정동, 신안비치팔레스)",126.3710974,34.8084821
오약국,전라남도 목포시 청호로 193 1층 (산정동),126.3716906,34.8074092
유한약국,전라남도 목포시 청호로 176 (산정동),126.373557,34.8064335
호산나약국,전라남도 영광군 염산면 천년로 19-5 (),126.3739094,35.2179606
염산종로약국,전라남도 영광군 염산면 천년로 20-1 (),126.3741659,35.2171474
전일약국,전라남도 목포시 청호로 153 (산정동),126.3748653,34.804744
로뎀약국,전라남도 목포시 청호로 154 (산정동),126.3751761,34.8049523
백세약국,충청남도 서산시 대산읍 독곶1로 20 (),126.3757511,36.989979
파마코약국,전라남도 목포시 죽산로40번길 7 (산정동),126.3761408,34.810574
바다약국,인천광역시 중구 용유서로 298 (을왕동),126.376214,37.4452429
종로약국,전라남도 목포시 고하대로 730 (산정동),126.3762232,34.8107701
알파약국,전라남도 목포시 청호로130번길 2 (산정동),126.3769656,34.8034463
하나로약국,전라남도 목포시 원산중앙로 46 (산정동),126.3770762,34.8091154
연세약국,전라남도 목포시 원산중앙로 59 (산정동),126.3780134,34.8101073
햇빛약국,전라남도 목포시 북항로 54-10 (죽교동),126.3784114,34.7991469
건승약국,전라남도 목포시 서산로 7 (금화동),126.3789903,34.7815619
송광약국,전라남도 목포시 서산로 16 (해안동4가),126.3790551,34.7822868
바다약국,인천광역시 강화군 내가면 중앙로 1314-1 1층,126.3790924,37.7013
화신약국,전라남도 목포시 북교길 35 (북교동),126.3791403,34.794352
사랑약국,전라남도 목포시 고하대로 795-1 (연산동),126.3797236,34.8170603
한솔온누리약국,전라남도 영암군 삼호읍 신항로 63-12 (),126.3797375,34.7452346
연산약국,전라남도 목포시 원산중앙로 89 (연산동),126.3804256,34.811957
성골롬반약국,전라남도 영암군 삼호읍 신항로 63-5 (삼호읍),126.3807147,34.7447692
